"","date","S308C_AMMONIA-N_mg/L","days"
"874",2020-08-24,0.116,17402
"875",2020-09-08,0.089,17417
"876",2020-09-21,0.247,17430
"877",2020-10-05,0.011,17444
"878",2020-10-19,0.016,17458
"879",2020-11-02,0.012,17473
"880",2020-11-16,0.00966666666666667,17487
"881",2020-11-30,0.012,17501
"882",2020-12-14,0.011,17515
"883",2020-12-28,0.032,17529
"884",2021-01-11,0.016,17543
"885",2021-01-25,0.017,17557
"886",2021-02-08,0.011,17571
"887",2021-02-22,0.015,17585
"888",2021-03-08,0.005,17599
"889",2021-03-22,0.012,17612
"890",2021-04-05,0.011,17626
"891",2021-04-19,0.0113333333333333,17640
"892",2021-05-03,0.02,17654
"893",2021-05-17,0.511,17668
"894",2021-06-01,0.064,17683
"895",2021-06-14,0.015,17696
"896",2021-06-28,0.057,17710
"897",2021-07-01,0.015,17713
"898",2021-07-02,0.014,17714
"899",2021-07-12,0.239,17724
"900",2021-07-26,0.075,17738
"901",2021-08-09,0.123,17752
"902",2021-08-23,0.033,17766
"903",2021-09-07,0.027,17781
"904",2021-09-20,0.02,17794
"905",2021-10-04,0.02,17808
"906",2021-10-18,0.0106666666666667,17822
"907",2021-11-01,0.006,17836
"908",2021-11-15,0.012,17851
"909",2021-11-29,NA,17865
"910",2021-12-13,0.036,17879
"911",2021-12-27,0.008,17893
"912",2022-01-10,0.022,17907
"913",2022-01-24,0.013,17921
"914",2022-02-07,0.007,17935
"915",2022-02-21,0.029,17949
"916",2022-03-07,0.0103333333333333,17963
"917",2022-03-21,NA,17976
"918",2022-04-04,0.017,17990
"919",2022-04-18,0.012,18004
"920",2022-05-02,0.0243333333333333,18018
"921",2022-05-16,0.007,18032
"922",2022-05-31,0.033,18047
"923",2022-06-13,0.058,18060
"924",2022-06-27,0.074,18074
"925",2022-07-11,0.047,18088
"926",2022-07-25,0.116666666666667,18102
"927",2022-08-08,0.098,18116
"928",2022-08-22,0.122,18130
"929",2022-09-06,0.202,18145
"930",2022-09-19,0.029,18158
"931",2022-10-03,0.038,18172
"932",2022-10-17,0.017,18186
"933",2022-10-31,0.011,18200
"934",2022-11-14,0.007,18215
"935",2022-11-28,0.007,18229
"936",2022-12-12,0.009,18243
"937",2022-12-27,0.037,18258
"938",2023-01-09,0.00966666666666667,18271
"939",2023-01-22,0.01,18284
"940",2023-01-23,0.013,18285
"941",2023-02-06,0.009,18299
"942",2023-02-20,0.014,18313
"943",2023-03-02,0.015,18323
"944",2023-03-06,0.018,18327
"945",2023-03-20,0.008,18340
"946",2023-04-03,0.047,18354
"947",2023-04-17,0.006,18368
"948",2023-05-01,0.00266666666666667,18382
