"Date","S133_PHOSPHATE_Ld_mg","S133_P_FLOW_cfd"
"2000-01-24",17.4593984109134,13.1485992855279
"2001-10-08",18.5604710370913,13.0160751479466
"2001-10-22",18.8546004600606,13.2893140626584
"2002-01-22",17.5237715723488,13.1864808315163
"2002-05-13",14.2804164527885,10.2491300265335
"2002-07-22",19.0690064933196,13.1028597541959
"2003-08-04",18.3443591104616,13.0460417439135
"2003-08-18",17.8474317043756,12.5491143378275
"2003-09-02",18.1350447640293,12.8723545751245
"2003-12-15",18.0119812530616,12.975028650648
"2004-10-04",18.6637240617923,12.3684580603526
"2004-11-01",17.7826125883194,12.4213204226099
"2004-11-15",17.0366616315856,12.3545304044614
"2004-12-20",18.138584310054,12.9456274591638
"2005-01-03",18.5069599352063,13.0559214816406
"2005-06-27",18.3274920171109,12.7143639107228
"2005-08-08",17.2527903496754,12.0378545920664
"2005-09-20",17.310908333411,12.4588780694914
"2005-11-01",18.7772842247309,12.7808321361119
"2008-08-28",20.2076849288894,13.7556359744522
"2008-10-22",18.3094434136901,12.8456116086645
"2008-12-17",17.4320701311509,12.2904065746483
"2010-03-17",16.754286216319,12.6271518312739
"2010-04-21",18.0097509394566,12.4842980003248
"2010-09-29",18.2614323297036,13.155486855803
"2011-10-19",18.8540138879772,13.4029754344115
"2012-09-05",19.0216454963151,12.9486009622147
"2012-09-20",17.9255193772133,12.3160475820283
"2012-10-17",17.3963479599823,11.9282878188472
"2013-06-05",15.5083014823253,10.8354726478634
"2013-08-07",18.8778667610546,13.2720646947586
"2014-03-17",17.1463153541659,11.7710369464818
"2014-07-07",17.291227732799,11.9393695993229
"2014-07-21",18.9336199105439,13.3463712521436
"2014-08-18",18.0659377831058,12.9011518091823
"2014-09-08",16.7846979614946,11.5643421364162
"2014-09-22",19.1001682588316,13.7483101253555
"2014-10-06",14.0644132593478,8.64831285714334
"2014-12-01",17.3521473034967,12.5318657378917
"2015-08-31",16.9002084732638,12.7570737468722
"2015-09-28",17.8781911575806,12.4800284560629
"2015-11-23",13.4144772056124,8.66954507724911
"2016-01-20",17.8853331883536,12.6868361570877
"2016-02-15",17.2845053209334,11.7832471103887
"2016-06-06",18.079385291439,12.9734398175384
"2016-06-20",17.8950654461781,12.7189157136042
"2016-08-15",18.0622665280573,12.926468091007
"2016-09-12",18.1517298449938,12.5062829473505
"2017-02-13",12.8090718622644,7.61611501137423
"2017-09-13",19.4570052846897,13.4384120701935
"2017-09-25",18.0061967217536,11.9377711335094
"2017-10-09",18.9629782107286,13.0824452243279
"2017-10-23",18.7549875227276,12.1510436981271
"2017-11-06",18.2616724299789,12.7125963450837
"2017-11-20",18.0502619980441,12.5864301930185
"2017-12-18",18.2942786502625,13.006011619568
"2018-01-16",18.1559817575931,12.9195397947631
"2018-05-21",19.084783245782,13.3644714691746
"2018-06-04",18.593864550871,12.6536932981505
"2018-06-18",17.8933382506266,12.1996061118239
"2018-07-02",17.5841418380597,12.3967560322189
"2018-07-16",17.4775988975953,12.057063898323
"2018-07-30",17.7769254114582,12.6893290762258
"2018-08-27",17.5829613608324,12.4296697663346
"2018-09-10",17.6765352567511,12.7786954568002
"2018-09-24",17.8134205921006,12.7135541642764
"2019-08-12",17.7016379351788,12.7249041927583
"2019-08-26",17.1163536728767,11.2612817506743
"2020-06-15",15.6388064480646,10.7789940437029
"2020-07-27",15.8447196955544,11.4139028967111
"2020-08-10",17.6488029043069,12.472653171733
"2020-08-24",16.6239394791745,11.6066596423596
"2020-09-08",18.6682899052108,13.1508370087461
"2020-09-21",19.0395485664487,13.5101194789373
"2020-10-05",19.4646237637505,13.8478526660839
"2020-10-19",18.5823346100603,13.0101805778825
"2020-11-02",17.4525922353522,12.2376564777433
"2020-11-16",18.4909289762917,12.6048249448415
"2020-11-30",18.016722768307,12.4294741099067
"2020-12-14",16.935289257499,11.7258031046576
"2020-12-28",17.7738636505423,12.7112686175153
"2021-02-08",18.3144969931462,13.1440129981081
"2021-02-22",18.038792148181,12.7206721543368
"2021-03-08",17.7482950288377,12.5171864119831
"2021-04-19",17.8609004875494,12.7310017726264
"2021-07-26",16.7835428517658,11.2383654072863
"2021-08-09",16.5236066677901,11.2765825956296
"2021-09-07",16.6228309322537,11.6530176326777
"2021-09-20",17.0251245151359,11.7676291431081
"2021-10-04",16.5777159501752,11.2306084194577
"2021-11-29",17.1240418593213,12.1682148017201
"2022-10-17",17.0428116154888,11.9552152802564
"2022-10-31",18.5024537172864,12.9930653806584
"2022-11-14",18.5046278206498,13.0239888973079
"2022-11-28",17.9816620714105,12.4057129682642
"2022-12-12",18.0841000486207,12.8746138957793
"2023-05-01",17.2669130943077,12.276480507529
