"Date","S308C_NITRATE_NITRITE_N_Ld_mg","S308.DS_FLOW_cfd"
"2000-02-07",20.5852008216534,14.0270030188411
"2000-04-03",19.9281094607936,13.4119163847507
"2000-05-01",18.4607387030485,15.6881499808087
"2000-05-15",20.420845405092,15.9322090353599
"2000-08-21",17.0804436100157,13.8615677851475
"2000-11-13",19.7271087756497,13.8521780447977
"2000-12-18",19.0666009555828,12.826325110412
"2001-01-08",19.3311646604346,13.4082466558617
"2001-01-22",19.1774863471726,13.0907116202603
"2001-02-05",19.3684367754726,13.205121971438
"2001-03-05",19.3495782258657,13.3631262205813
"2001-03-19",17.031017729803,11.4400307492921
"2001-04-16",17.2255548924286,12.7369185226964
"2001-05-14",14.7131953775277,11.8799820334714
"2001-10-08",18.5878798455535,13.0119307424071
"2001-12-03",19.5091259889556,13.3437081347242
"2002-01-07",18.7079454207807,13.0703027486291
"2002-01-22",17.5669573898113,11.8799820334714
"2002-02-04",17.9593720876474,12.0929040307141
"2002-03-18",19.4687776011653,13.6165751213908
"2002-04-01",18.914086192821,13.7267003869803
"2002-04-15",17.2806724066655,11.5636447052593
"2002-04-29",16.2022046840899,13.6372553266283
"2002-05-28",18.7122098195672,13.4757678567372
"2002-06-10",17.9245856281432,12.606465634299
"2002-07-16",18.8227935644378,14.0270030188411
"2002-07-17",18.6800388493528,14.3362334274991
"2002-08-01",18.7956045892005,14.1706317759162
"2002-08-05",18.7326186911984,14.1893239089284
"2002-08-19",17.6445885118608,12.302254259896
"2002-09-16",16.6284451350487,14.2305498622503
"2002-09-25",20.0301319450683,14.7778585170217
"2002-09-30",18.1707033561074,13.776254201435
"2002-10-09",19.0748768648866,14.5105286734188
"2002-10-14",16.991969821828,12.9144323779223
"2002-10-28",15.7700713288995,11.4660062356954
"2002-11-12",17.4265488724648,13.4192156872323
"2002-11-25",17.9893802640216,12.758271647167
"2002-12-09",17.7075807823474,12.7002843895166
"2002-12-17",19.3389986866657,14.254493544003
"2002-12-30",20.1049540527327,14.2701433156701
"2003-01-13",21.3354596017655,15.4521372132772
"2003-01-27",20.3782791695818,14.37192600998
"2003-02-10",20.9856396261763,15.0748429821358
"2003-02-24",18.0673060286971,11.9295789746108
"2003-03-10",19.6075918070298,13.6940888013915
"2003-03-24",18.3517518382546,12.1968937442382
"2003-04-07",18.2874771460805,12.2567918858192
"2003-04-21",15.2220649518885,9.26105961226524
"2003-05-05",19.8920957720787,14.9648420869214
"2003-05-19",18.8683639434829,14.2732440933483
"2003-06-16",18.1975749464511,14.7963775647889
"2003-07-08",19.0710028667701,15.2868132328519
"2003-08-04",15.6427575728859,13.6968474238306
"2003-08-25",17.9449490425724,14.9492167690184
"2003-09-02",20.1554706480521,15.7610214933796
"2003-09-08",19.8539664752473,15.7679901626957
"2003-09-15",20.8409914808769,16.1405111150845
"2003-09-22",19.9782641919249,15.6344587700712
"2003-09-29",16.7578927119131,12.4076147755538
"2003-10-06",20.6801394059103,15.2036758539787
"2003-10-13",20.1695896188507,15.4333911704562
"2003-10-27",20.3687059983344,14.8235285538549
"2003-11-03",20.5936058190044,15.1864340475442
"2003-11-10",18.68576089478,13.4654050697017
"2003-11-17",18.9751588366279,13.5028881629564
"2003-11-24",18.6985355568252,13.8662297982533
"2003-12-08",17.4419665962674,12.5899363323478
"2003-12-15",19.34162242568,13.6717415026995
"2004-01-05",18.5116822982766,13.7452439646924
"2004-03-15",20.6859160586877,14.7589900327173
"2004-04-05",20.0230511048729,14.8525671098348
"2004-04-19",19.7486254116256,14.0348926061162
"2004-05-03",19.0560032930642,13.2448623000875
"2004-05-17",18.9463622294381,13.0009416208316
"2004-06-07",17.8376619127797,13.0173803471747
"2004-06-21",15.5773003562312,11.1346490997409
"2004-07-26",17.7881570823575,12.7512044799439
"2004-08-23",14.7021676968506,11.9295789746108
"2004-09-13",20.8521082335518,14.2240668573722
"2004-09-16",21.6598261916053,14.9802270057609
"2004-09-29",21.9238429847361,15.0537895729379
"2004-10-04",22.4405293091294,15.624889319055
"2004-10-18",23.1079877090657,16.5315181400175
"2004-10-25",23.2066089591804,16.4450361903763
"2004-11-01",22.7596125577392,15.9785549318031
"2004-11-08",22.1649475953038,16.0691230328716
"2004-11-15",21.4834724454112,14.676643085019
"2004-11-23",21.6195259132314,14.8350688505937
"2004-12-06",20.9133101193302,14.1232128838163
"2004-12-16",21.9698000455546,15.1808283025624
"2004-12-20",20.9415470829743,14.1480809503943
"2005-01-31",21.0964291450286,14.4591711137441
"2005-02-14",20.5847204029213,13.9487738472346
"2005-02-28",18.8912724342798,12.20916383683
"2005-03-14",19.9122265747776,13.2789081414972
"2005-03-29",21.1645639643199,15.1619122278213
"2005-04-04",19.8931063835846,13.2185449917701
"2005-04-12",20.4160302448214,13.8161597456085
"2005-04-18",21.8087027717674,15.2061148795781
"2005-04-26",20.3301803560634,14.8663485510378
"2005-05-02",20.0178337017332,14.3274742474092
"2005-05-10",21.4725131038796,15.0110449275259
"2005-05-16",20.4046590157432,14.0485513550473
"2005-05-24",20.338067354764,14.7231160938144
"2005-05-31",21.0025640623372,15.2806142837255
"2005-06-07",19.9707322907331,13.6940888013915
"2005-06-13",19.7826324299763,13.3118329261937
"2005-06-21",19.8968871064245,14.4225177960961
"2005-07-05",20.9796748684109,15.6813575018629
"2005-07-11",20.9009168331098,15.6486434050632
"2005-07-19",21.407430393247,16.2541387987493
"2005-07-25",22.2381121924626,16.2566979812081
"2005-08-02",21.0928657785001,15.7821258919535
"2005-08-16",18.9059270450586,15.455939499227
"2005-08-22",19.8141979930483,15.882372360324
"2005-08-30",19.1206864009179,15.0516596466801
"2005-09-06",19.3626161701328,14.209324575635
"2005-09-20",20.1997076801089,14.5720865664182
"2005-09-27",21.703070352922,16.7507706358387
"2005-10-03",19.5247472833533,13.7914060064556
"2005-11-01",21.9839085134734,15.4977477245293
