"Date","S84_PHOSPHATE_Ld_mg","S84_S_FLOW_cfd"
"2000-01-10",11.9352082616918,8.17400814599821
"2000-01-24",18.0691242034225,13.7924580844064
"2000-03-06",11.9954271216848,8.23422700599127
"2000-04-17",15.2356855072526,11.1752424967062
"2000-07-25",16.8610872706757,13.1975256245461
"2000-08-07",15.0098376854088,11.5133301239423
"2000-09-05",15.6231249429457,11.9342454888318
"2000-09-18",17.6550577073488,13.5279233223037
"2000-10-02",15.407528295501,11.2178735534746
"2001-07-16",18.6038666241714,14.0605718419014
"2001-07-30",17.4279033266782,12.682971198315
"2001-08-13",17.6670218607596,13.4043419837183
"2001-09-10",19.6542821693749,15.0491119833868
"2001-09-24",19.5087626011389,14.8548022509814
"2001-10-08",19.4118036939322,14.9009441874154
"2001-11-05",19.3065889129146,14.71146906278
"2002-01-22",15.7138602465589,12.4949844216907
"2002-03-04",8.65472999146397,5.14318455263295
"2002-06-24",19.0891193894727,14.5655208571784
"2002-07-08",20.47479913479,15.7386006863955
"2002-08-05",14.9084193804946,10.6743128758973
"2002-08-19",17.626792609776,13.5663495992296
"2002-09-03",18.7444432795578,14.6556697623851
"2002-09-30",17.2671356645608,13.9349311543856
"2002-10-14",17.908056326192,13.9960333207638
"2002-11-25",17.0780781978104,13.0890941512461
"2002-12-09",16.8177039479926,12.7068300838193
"2002-12-30",15.9631699584493,12.2136658825189
"2003-01-27",13.2472404224925,9.23990723726002
"2003-02-10",16.9063127170314,12.9942897116032
"2003-02-24",13.3866924955267,9.37935931029427
"2003-03-24",18.297406997261,13.234811964234
"2003-04-21",13.4584364003856,9.50719268180415
"2003-05-05",17.0753089548803,13.4917900164242
"2003-06-02",18.2505607526862,13.4383763973138
"2003-06-16",18.0437534682924,14.1519331701817
"2003-07-08",18.599670060382,14.1453227641285
"2003-07-21",18.0376315784392,13.9771885678928
"2003-08-04",18.7370286820855,14.3803198553959
"2003-08-18",19.1979532643035,14.4530211359403
"2003-09-02",17.9068137244167,14.2958958117725
"2003-09-15",11.6648570944405,7.55398323026723
"2003-10-06",18.6007536506799,14.0898941441631
"2003-10-20",15.0387695333683,10.7347044401641
"2003-11-03",12.6156040790964,8.28487073881002
"2004-01-05",13.2705047307009,8.66533454471277
"2004-01-21",13.0907116202603,8.49559177012567
"2004-02-02",18.8832200505584,14.5011934158845
"2004-02-17",17.431326861163,13.304192476118
"2004-03-01",17.6331936932613,13.1114051162122
"2004-03-15",17.0447389512828,12.8400463318918
"2004-06-21",15.1270993542817,11.1952737215574
"2004-08-09",16.4736884558089,12.4663552705764
"2004-08-23",19.6618188592899,13.8903777361599
"2004-09-13",19.2002406448976,15.0105859028712
"2004-10-04",20.184348903045,15.3245364986833
"2004-10-18",15.9784030215311,11.6216941948415
"2005-01-03",16.8532052377557,12.2682377590852
"2005-01-18",18.6542750699805,13.9814462355186
"2005-02-14",10.324968102925,5.83633173319289
"2005-02-28",16.8709644517701,11.9364905186394
"2005-03-14",15.5154473016287,9.86295812136004
"2005-04-04",12.7652192873105,8.39577143484346
"2005-06-13",20.5855174627609,15.8405853343976
"2005-06-27",19.2982458690099,14.8209090545317
"2005-07-11",18.6968519389087,14.3927868457046
"2005-07-25",16.8002722025837,12.8882491971556
"2005-08-08",19.5146028075633,14.6470683571077
"2005-08-22",17.7544594145754,13.3977505878858
"2005-09-06",19.1117938087143,14.5474456172464
"2005-11-01",18.3243740952636,13.1827105387609
"2005-11-14",18.807081709155,14.3184453394229
"2005-12-05",17.7212802549205,13.4308208137721
"2006-01-09",15.8027203061796,11.8324283926274
"2006-02-06",19.2953387610977,14.9133121264238
"2006-02-21",16.5883816524135,12.2063550177396
"2006-03-06",10.6112446937681,6.24179684130106
"2006-03-20",8.32123838298089,3.89042158413758
"2006-09-11",17.2043536316925,13.6208346932364
"2006-09-25",17.2508612623069,12.9070558404532
"2006-10-09",11.1967851837647,7.27481184748336
"2007-05-07",11.7279759450187,8.39577143484346
"2007-05-21",15.6558940507913,11.5615494885692
"2007-07-09",18.4132615280733,12.2168174002788
"2007-07-23",17.3908960018611,11.4120102369599
"2007-08-06",17.8033600778772,13.6137053358508
"2007-08-20",15.3379548303408,10.5843646392344
"2007-09-10",16.7243399314453,11.3964637626557
"2007-09-24",16.6029352551159,11.4267855225421
"2007-10-08",16.7590095074196,11.5550028203428
"2007-10-22",16.3345815643676,11.2656773621473
"2008-07-16",18.2801800705175,13.1621862581008
"2008-07-30",17.500729805357,13.3263425354614
"2008-08-28",20.5797266705094,15.1906549406929
"2008-09-10",18.6076081979582,12.7049748645569
"2008-09-24",18.6213536963506,13.1241854710574
"2008-10-08",12.9590831777818,7.38692914560406
"2008-10-22",17.5599718294583,13.4010887460986
"2008-11-05",6.26532733871125,3.19727440357764
"2008-11-19",15.3068802006201,11.281528509885
"2009-04-08",11.280603012364,7.18625845014191
"2009-06-03",17.9827301979516,13.8800868329148
"2009-07-08",18.7992529555758,14.1645239673461
"2009-07-22",17.985738784604,13.8426040582125
"2009-08-12",17.6330710845346,14.1067105599185
"2009-08-26",15.9922580816716,12.1855955919013
"2009-09-09",16.5777947456245,13.1600680620112
"2009-09-23",13.8529324771232,9.6940493937635
"2009-12-09",13.1007619561138,9.88188613124556
"2010-01-13",10.0889003006299,6.37532823392558
"2010-02-24",11.949381601907,8.01755596918267
"2010-03-03",13.0102900529497,8.94984704240327
"2010-03-17",16.9577964271041,12.436007850055
"2010-04-07",18.9308245966803,13.6325072301323
"2010-04-21",18.6523322042608,14.4328244990847
"2010-06-16",10.3361414035232,6.78079334203375
"2010-07-14",16.265850853759,12.5046507380654
"2010-07-28",15.0206507530523,11.4371318145962
"2010-08-18",16.8920874328738,13.5962505668695
