"","date","L001_RADP_MICROMOLE/m^2/s"
"1",2000-01-01,197.26
"2",2000-01-02,119.71
"3",2000-01-03,241.89
"4",2000-01-04,231.46
"5",2000-01-05,190.54
"6",2000-01-06,249.53
"7",2000-01-07,204.12
"8",2000-01-08,207.97
"9",2000-01-09,250.19
"10",2000-01-10,245.96
"11",2000-01-11,208.02
"12",2000-01-12,251.84
"13",2000-01-13,254.43
"14",2000-01-14,252.79
"15",2000-01-15,161.08
"16",2000-01-16,158.76
"17",2000-01-17,266.2
"18",2000-01-18,260.92
"19",2000-01-19,123.3
"20",2000-01-20,207.04
"21",2000-01-21,277.15
"22",2000-01-22,262.41
"23",2000-01-23,247.59
"24",2000-01-24,146.41
"25",2000-01-25,166.29
"26",2000-01-26,281.08
"27",2000-01-27,275.13
"28",2000-01-28,210.64
"29",2000-01-29,245.32
"30",2000-01-30,275.49
"31",2000-01-31,138.25
"32",2000-02-01,192.04
"33",2000-02-02,86.79
"34",2000-02-03,160.04
"35",2000-02-04,269.72
"36",2000-02-05,301.24
"37",2000-02-06,303.79
"38",2000-02-07,284.4
"39",2000-02-08,66
"40",2000-02-09,272.52
"41",2000-02-10,295.89
"42",2000-02-11,302.5
"43",2000-02-12,297.84
"44",2000-02-13,301.43
"45",2000-02-14,255.44
"46",2000-02-15,318.26
"47",2000-02-16,310.23
"48",2000-02-17,316.24
"49",2000-02-18,309.78
"50",2000-02-19,316.16
"51",2000-02-20,255.88
"52",2000-02-21,334.29
"53",2000-02-22,278.48
"54",2000-02-23,246.89
"55",2000-02-24,252.67
"56",2000-02-25,262.51
"57",2000-02-26,287.77
"58",2000-02-27,343.81
"59",2000-02-28,358.6
"60",2000-02-29,349.93
"61",2000-03-01,342.26
"62",2000-03-02,337.65
"63",2000-03-03,302.28
"64",2000-03-04,262.79
"65",2000-03-05,360.54
"66",2000-03-06,355.97
"67",2000-03-07,305.21
"68",2000-03-08,281.8
"69",2000-03-09,360.93
"70",2000-03-10,373.37
"71",2000-03-11,350.12
"72",2000-03-12,241.5
"73",2000-03-13,357.99
"74",2000-03-14,384.48
"75",2000-03-15,350.46
"76",2000-03-16,367.43
"77",2000-03-17,361.19
"78",2000-03-18,302.4
"79",2000-03-19,101.46
"80",2000-03-20,378.11
"81",2000-03-21,380.18
"82",2000-03-22,347.29
"83",2000-03-23,287.18
"84",2000-03-24,225
"85",2000-03-25,580.27
"86",2000-03-26,456.92
"87",2000-03-27,307.13
"88",2000-03-28,593.95
"89",2000-03-29,575.82
"90",2000-03-30,553.31
"91",2000-03-31,432.83
"92",2000-04-01,575.73
"93",2000-04-02,579.88
"94",2000-04-03,565.69
"95",2000-04-04,521
"96",2000-04-05,612.34
"97",2000-04-06,613.84
"98",2000-04-07,584.59
"99",2000-04-08,526.71
"100",2000-04-09,615.94
"101",2000-04-10,591.88
