"","date","S308C_PHOSPHATE, TOTAL AS P_mg/L","days"
"952",2022-12-27,0.298,18258
"953",2023-01-09,0.220333333333333,18271
"954",2023-01-22,0.192,18284
"955",2023-01-23,0.263,18285
"956",2023-02-06,0.36,18299
"957",2023-02-20,0.303,18313
"958",2023-03-02,0.338,18323
"959",2023-03-06,0.254,18327
"960",2023-03-20,0.547,18340
"961",2023-04-03,0.263,18354
"962",2023-04-17,0.328,18368
"963",2023-05-01,0.500666666666667,18382
