"","date","L005_RADP_MICROMOLE/m^2/s"
"1",2000-01-01,163.3
"2",2000-01-02,126.18
"3",2000-01-03,80.47
"4",2000-01-04,139.42
"5",2000-01-05,114.35
"6",2000-01-06,250.52
"7",2000-01-07,157.51
"8",2000-01-08,52.66
"9",2000-01-09,189.7
"10",2000-01-10,133.68
"11",2000-01-11,155.9
"12",2000-01-12,226.63
"13",2000-01-13,51.72
"14",2000-01-14,255.87
"15",2000-01-15,208.31
"16",2000-01-16,212.67
"17",2000-01-17,177.26
"18",2000-01-18,261.79
"19",2000-01-19,96.38
"20",2000-01-20,43.74
"21",2000-01-21,214.02
"22",2000-01-22,240.81
"23",2000-01-23,257.07
"24",2000-01-24,101.07
"25",2000-01-25,146.56
"26",2000-01-26,283.21
"27",2000-01-27,307.74
"28",2000-01-28,252.16
"29",2000-01-29,274.04
"30",2000-01-30,217.43
"31",2000-01-31,180.01
"32",2000-02-01,143.21
"33",2000-02-02,91.72
"34",2000-02-03,192.04
"35",2000-02-04,325.47
"36",2000-02-05,339.61
"37",2000-02-06,316.15
"38",2000-02-07,239.83
"39",2000-02-08,55.72
"40",2000-02-09,309.97
"41",2000-02-10,175.55
"42",2000-02-11,247.41
"43",2000-02-12,306.13
"44",2000-02-13,138.3
"45",2000-02-14,215.91
"46",2000-02-15,285.22
"47",2000-02-16,371.09
"48",2000-02-17,338.06
"49",2000-02-18,362
"50",2000-02-19,295.16
"51",2000-02-20,333.34
"52",2000-02-21,410.72
"53",2000-02-22,382.59
"54",2000-02-23,403.81
"55",2000-02-24,317.11
"56",2000-02-25,347.26
"57",2000-02-26,393.18
"58",2000-02-27,390.95
"59",2000-02-28,341.79
"60",2000-02-29,426.43
"61",2000-03-01,397.16
"62",2000-03-02,364.24
"63",2000-03-03,351.32
"64",2000-03-04,241.3
"65",2000-03-05,443.02
"66",2000-03-06,423.17
"67",2000-03-07,367.12
"68",2000-03-08,335.87
"69",2000-03-09,367.31
"70",2000-03-10,464.26
"71",2000-03-11,346.82
"72",2000-03-12,376.24
"73",2000-03-13,458.9
"74",2000-03-14,484.56
"75",2000-03-15,314.12
"76",2000-03-16,449.02
"77",2000-03-17,466.61
"78",2000-03-18,356.25
"79",2000-03-19,180.89
"80",2000-03-20,505.82
"81",2000-03-21,499.5
"82",2000-03-22,402.19
"83",2000-03-23,310.62
"84",2000-03-24,321.39
"85",2000-03-25,415.23
"86",2000-03-26,285.97
"87",2000-03-27,182.5
"88",2000-03-28,439.73
"89",2000-03-29,437.8
"90",2000-03-30,421.79
"91",2000-03-31,402.41
"92",2000-04-01,452.57
"93",2000-04-02,466.35
"94",2000-04-03,463.71
"95",2000-04-04,359.71
"96",2000-04-05,503.14
"97",2000-04-06,498.7
"98",2000-04-07,483.48
"99",2000-04-08,408.94
"100",2000-04-09,498.97
"101",2000-04-10,494.15
"102",2000-04-11,480.28
"103",2000-04-12,406.41
"104",2000-04-13,332.83
"105",2000-04-14,192.57
"106",2000-04-15,490.65
"107",2000-04-16,444.04
"108",2000-04-17,467.4
"109",2000-04-18,486.65
"110",2000-04-19,502.98
"111",2000-04-20,507.66
"112",2000-04-21,502.09
"113",2000-04-22,518.94
"114",2000-04-23,508.02
"115",2000-04-24,422.69
"116",2000-04-25,475
"117",2000-04-26,518.54
"118",2000-04-27,511.65
"119",2000-04-28,516.92
"120",2000-04-29,460.14
"121",2000-04-30,505.52
"122",2000-05-01,506.5
"123",2000-05-02,525.38
"124",2000-05-03,430.69
"125",2000-05-04,534.11
"126",2000-05-05,537.71
"127",2000-05-06,526.75
"128",2000-05-07,516.86
"129",2000-05-08,508.36
"130",2000-05-09,512.09
