"Date","S154_PHOSPHATE_Ld_mg","S154_C_FLOW_cfd"
"2000-03-20",12.2922039240425,7.38692914560406
"2001-07-11",14.087125864624,10.5413472541507
"2001-07-16",16.6770884239884,10.9867289696643
"2001-07-25",17.5190144391917,11.0328536502476
"2001-08-08",18.1616011764515,11.8709583917533
"2001-08-13",19.3752116875437,12.0062412853489
"2001-08-15",19.4901998681716,12.1205991476452
"2001-08-27",17.7040343424187,11.1303541754581
"2001-09-10",18.5106466362354,12.3991792967327
"2001-09-24",18.5661819061489,12.0426195999994
"2001-09-26",19.2950595863104,12.2811441114999
"2001-10-03",17.7787252502006,10.7921587907942
"2001-10-08",19.0660529445719,12.2460365798978
"2001-10-10",18.6030253755524,11.8414526067484
"2001-10-22",19.3163669574631,12.8195919672772
"2001-10-31",18.800244365393,12.3156091297578
"2001-11-05",18.6671448042616,12.28871862061
"2001-11-07",17.6310256589153,11.9732871227606
"2002-05-28",11.5358192835662,7.60399365084189
"2002-07-08",15.0711695767695,11.3334999584861
"2002-08-28",18.5427802362245,11.8770965184421
"2002-09-04",18.0072663486372,12.4699320816187
"2002-09-11",16.8990797253485,10.4205700831399
"2002-12-18",16.3922783913725,11.5324659870108
"2002-12-26",17.4606656736999,12.1723986430053
"2002-12-30",17.6421357455217,11.7072415499021
"2003-01-02",18.4050663645059,12.4086142758869
"2003-01-08",17.8851564072363,11.6989477833358
"2003-01-13",17.0502040527486,11.6703066992081
"2003-01-15",16.9316779376848,10.7896405320974
"2003-02-05",9.54027571676823,4.29588669224575
"2003-03-19",16.6017141709129,11.0643799038944
"2003-06-25",15.3563602578835,10.1199182950535
"2003-07-02",16.4689194836977,10.3596719009334
"2003-07-08",15.9735353222673,10.2831758679432
"2003-07-09",16.1697818654376,10.2671485320362
"2003-07-16",15.7467665262441,10.1708174230978
"2003-07-21",15.7655288026996,10.1708174230978
"2003-07-23",15.4839357615398,10.2316623334931
"2003-07-30",15.3200089174845,10.4372069948981
"2003-08-04",14.8361274251457,9.47954115047364
"2003-08-13",16.3154289362079,10.3673939470273
"2003-08-18",19.1433325550805,12.4512488125739
"2003-08-20",18.9163189327691,12.5177239982338
"2003-08-27",19.4728683818762,12.8161418576978
"2003-09-03",18.9934992167528,12.3126445379626
"2003-09-10",18.815908613149,12.2119647885485
"2003-09-15",17.7719895092087,11.7128663136269
"2003-09-17",16.8491171370228,10.5800208533165
"2003-09-24",17.326202029943,11.4019462325284
"2003-10-01",18.9059979741415,13.079997866761
"2003-10-09",18.0369861551961,11.8528372642586
"2003-10-15",17.6985983152148,11.4960627980268
"2003-11-03",14.5645958946891,9.0552075580611
"2003-12-03",12.7750318160245,7.75115129517818
"2004-09-01",17.5225091789826,10.8971168109746
"2004-09-15",19.8593660867576,12.8668102060829
"2004-09-21",20.6478794934243,13.8465964589527
"2004-09-30",20.6800920973799,13.9243231753956
"2004-10-04",21.3655272138177,14.4478216039824
"2004-10-06",21.7183949663926,14.8006893565573
"2004-10-13",18.7721090451267,11.8544034352914
"2004-10-18",18.5138997519082,11.6669566123228
"2004-10-20",18.102657166712,11.2546518921356
"2004-11-03",17.4348711706663,10.8282209844681
"2004-11-15",12.67182349182,6.28831685693595
"2004-11-17",13.4972872226525,7.16756631712976
"2004-12-01",12.8035681232894,6.83486056330402
"2004-12-22",13.0137323971407,7.77198538208102
"2005-02-02",11.1929180078649,6.52947891375284
