"Date","S308C_PHOSPHATE_Ld_mg","S308.DS_FLOW_cfd"
"2000-02-07",19.737430036216,14.0270030188411
"2000-04-03",18.6048732356409,13.4119163847507
"2000-04-27",20.9087842705122,15.5569261370361
"2000-04-28",20.6871353785071,15.7483541881789
"2000-04-29",21.0757420505224,15.9041223370203
"2000-04-30",20.7871225870459,15.7845194646469
"2000-05-01",20.6297924034181,15.6881499808087
"2000-05-02",20.2369841919105,15.7283249063033
"2000-05-03",20.0124295719158,15.7469367534979
"2000-05-04",19.9398164638007,15.7232542688543
"2000-05-11",20.1591399848038,15.7821258919535
"2000-05-15",21.0011132375801,15.9322090353599
"2000-05-18",19.2016412892076,15.2896182837795
"2000-06-01",17.6024587336256,13.3397788565843
"2000-08-21",18.6237417199453,13.8615677851475
"2000-11-13",18.4472978949323,13.8521780447977
"2000-12-18",18.5883764931922,12.826325110412
"2001-01-08",18.148821478856,13.4082466558617
"2001-01-22",18.7810710745843,13.0907116202603
"2001-02-05",20.0163663500393,13.205121971438
"2001-03-05",20.0797209941022,13.3631262205813
"2001-03-19",16.1405111150845,11.4400307492921
"2001-04-16",18.1922396380541,12.7369185226964
"2001-05-14",16.0310219393701,11.8799820334714
"2001-10-08",18.7739821251873,13.0119307424071
"2001-12-03",18.7642431339964,13.3437081347242
"2002-01-07",18.3078079757803,13.0703027486291
"2002-01-22",16.2620086681453,11.8799820334714
"2002-02-04",17.8518058045914,12.0929040307141
"2002-03-18",18.2609660205322,13.6165751213908
"2002-04-01",18.4540882056926,13.7267003869803
"2002-04-15",16.3758290606317,11.5636447052593
"2002-04-29",18.0740068609915,13.6372553266283
"2002-05-13",18.2632595995193,13.763449929189
"2002-05-28",17.9755775270675,13.4757678567372
"2002-06-10",17.576278933875,12.606465634299
"2002-07-16",19.3102067475791,14.0270030188411
"2002-07-17",19.5010194014226,14.3362334274991
"2002-08-01",19.1299737756249,14.1706317759162
"2002-08-05",19.3132878883316,14.1893239089284
"2002-08-19",17.2789880023166,12.302254259896
"2002-09-03",18.9666632802464,14.2481644089513
"2002-09-16",18.9033786967122,14.2305498622503
"2002-09-25",20.0661255477162,14.7778585170217
